S1,S2,S3,S4,S5
1.3333334,11.728503,9.521151,88.817696,11.422282
1.3366667,5.9853144,13.515392,97.99731,7.2504587
1.34,9.540038,8.629329,88.28499,8.596245
1.3433334,7.3079047,17.909555,88.81776,16.972988
1.3466667,5.5565596,11.4984,101.48282,12.353981
1.35,10.559754,13.728883,89.40633,11.69761
1.3533334,6.159704,7.84729,101.22181,9.339173
1.3566667,9.850973,14.523072,88.37127,9.887543
1.36,6.263269,15.529021,95.34094,11.6041355
1.3633333,9.180359,11.3291,91.13884,11.233345
1.3666667,5.289436,14.345878,101.41688,8.6043215
1.37,10.705325,11.418789,88.249306,8.282054
1.3733333,6.444351,13.305695,92.00794,13.206954
1.3766667,9.935299,10.859147,83.28495,14.594597
1.38,5.2473803,13.572203,97.26575,10.074166
1.3833333,9.74944,8.31957,84.32651,9.923433
1.3866667,5.62609,16.110075,94.517685,10.592288
1.39,12.00561,8.254246,83.22229,11.424959
1.3933333,2.5584013,17.675705,87.6402,10.445982
1.3966666,10.116524,10.447511,80.47645,10.079703
1.4,5.1246786,13.841157,97.887764,9.120703
1.4033333,10.2375765,9.959934,89.4682,9.184759
1.4066666,6.924557,10.273944,93.70055,10.700896
1.41,9.665947,8.765403,83.413734,11.646253
1.4133333,5.442681,17.25946,97.2842,9.605669
1.4166666,10.998268,12.127512,84.00349,8.703268
1.42,5.0158925,11.955257,100.65095,10.267119
1.4233333,11.719765,9.443454,89.97931,11.545922
1.4266666,6.1098576,15.904057,96.4344,9.949681
1.43,9.951332,11.445739,85.97899,7.99943
1.4333333,6.6573386,14.207293,90.007286,9.346691
1.4366666,9.019394,9.237477,83.81449,13.479511
1.44,6.9006658,15.376515,87.558395,10.563881
1.4433334,10.101257,9.611811,80.58208,12.111214
1.4466667,5.8863835,13.2431755,91.31757,10.386892
1.45,10.002015,9.926152,82.99454,9.097857
1.4533334,5.929562,12.537635,94.66393,9.089806
1.4566667,11.524767,10.482914,82.72126,11.658776
1.46,6.6949983,11.940636,88.8585,10.150541
1.4633334,10.363311,10.130975,78.22242,8.8857565
1.4666667,6.5129066,13.334412,87.18685,8.849589
1.47,9.531883,10.168283,80.10899,12.613767
1.4733334,5.3156247,12.272446,93.90428,12.239662
1.4766667,10.135128,10.323371,82.800354,10.380678
1.48,5.4657865,13.12334,94.3381,10.341163
1.4833333,11.15547,10.171064,81.58045,9.70089
1.4866667,3.5466678,14.621956,92.21364,9.756619
1.49,11.592279,9.978219,80.878975,10.505072
1.4933333,5.5716705,13.052393,96.678925,11.145059
1.4966667,9.487632,9.170662,85.55956,11.612278
1.5,6.125077,14.154122,93.94509,10.642984
1.5033333,11.219051,11.320295,80.914215,11.435328
1.5066667,6.680621,15.4461355,89.49845,11.582899
1.51,9.319788,11.026136,79.39911,8.980646
1.5133333,6.7130165,13.121747,87.12358,8.7535715
1.5166667,11.5922365,9.67645,78.84471,11.739497
1.52,3.3908982,14.29086,90.31815,12.487248
1.5233333,11.544821,8.829494,79.31739,9.7242
1.5266666,5.6555324,15.12197,92.08808,9.494229
1.53,11.434397,10.726993,82.2048,12.3715925
1.5333333,7.009496,14.847498,87.48051,11.423309
1.5366666,8.887237,10.431073,81.080376,7.681069
1.54,6.158564,14.900582,89.69044,10.588209
1.5433333,9.893791,8.380651,81.48587,16.38457
1.5466666,5.156607,13.187881,95.37153,10.978466
1.55,11.382033,10.290636,83.850204,11.992968
1.5533333,7.51965,12.740894,88.38875,10.473072
1.5566666,8.463663,9.005391,84.06001,9.987684
1.56,5.4465938,14.098664,96.597694,9.599837
1.5633334,12.3528,7.78085,83.68855,10.08207
1.5666667,7.4288616,16.023619,86.964035,11.912352
1.57,9.437296,12.177051,80.62655,10.81405
1.5733334,8.32829,14.279309,83.1036,11.074022
1.5766667,9.215874,12.54605,77.45905,10.027658
1.58,5.865419,11.608508,89.92174,10.172677
1.5833334,13.017121,8.811266,81.1626,10.675614
1.5866667,5.8259606,11.877457,93.98394,10.394335
1.59,11.702293,9.356688,83.44241,13.504439
1.5933334,6.977838,14.650213,88.35543,7.5212345
1.5966667,10.641783,8.97519,77.72038,11.384699
1.6,7.7334566,15.97866,82.12033,17.504986
1.6033334,9.374752,10.070689,76.699974,8.429443
1.6066667,5.6840625,13.291339,91.718544,12.384569
1.61,9.0351515,8.411685,85.935585,14.637902
1.6133333,7.369897,13.792816,87.54505,9.988276
1.6166667,8.244317,10.109658,85.56267,10.327758
1.62,8.243879,14.177501,83.30222,9.725317
1.6233333,8.329553,11.309669,81.33586,10.227276
1.6266667,8.51716,10.3509865,76.96794,10.673117
1.63,5.354498,9.69184,91.55835,11.096142
1.6333333,11.327758,11.406628,79.95598,10.827887
1.6366667,7.108269,9.621453,84.17082,10.4939165
1.64,11.06047,12.779621,77.296234,11.0816145
1.6433333,5.0556793,15.29169,95.04702,10.219067
1.6466666,13.221322,9.911346,84.848274,9.591614
1.65,6.6458755,11.609548,89.498985,10.621839
1.6533333,9.430782,8.333224,82.60171,11.146783
1.6566666,7.419891,19.829037,84.67578,8.759587
1.66,8.547712,12.636297,76.89543,10.076628
1.6633333,7.735462,13.3380995,81.42639,12.432467
1.6666666,8.298372,9.741171,82.37981,11.186406
1.67,10.563883,13.9889,71.22787,11.3516245
1.6733333,5.273507,8.146704,86.3118,10.285971
1.6766666,10.357717,13.565348,77.82322,10.299391
1.68,6.573499,11.679725,85.56642,9.89547
1.6833333,11.193598,9.989571,80.554054,9.998535
1.6866666,5.329713,16.459522,94.432846,11.8575115
1.69,12.620056,11.285227,82.04178,10.437025
1.6933334,6.239157,12.478719,91.56915,10.190595
1.6966667,10.249976,10.325953,82.42054,11.102088
1.7,7.3706684,15.109167,82.745735,11.470681
1.7033334,8.63265,10.6024275,78.29657,9.499511
1.7066667,6.5894957,14.642074,87.64488,9.312033
1.71,9.9325285,9.188324,80.819786,12.541522
1.7133334,6.3650503,10.64633,90.40234,10.839827
1.7166667,12.059713,11.613538,81.269516,11.47557
1.72,6.424597,11.7790985,91.83587,11.138576
1.7233334,10.615472,9.097296,80.835434,10.7611685
1.7266667,5.9761844,15.937032,92.0626,7.8663797
1.73,11.253024,12.588508,79.6541,10.726604
1.7333333,5.7855535,11.268583,94.32464,16.066994
1.7366667,12.232689,10.007721,85.68391,10.066325
1.74,5.729228,15.351354,97.44928,13.849946
1.7433333,10.586954,11.168375,83.443924,10.708518
1.7466667,6.449958,13.530651,90.04082,11.022954
1.75,8.973703,8.972262,84.514305,11.580738
1.7533333,7.1988926,16.151415,87.16628,9.497453
1.7566667,10.10984,9.575138,78.63235,10.24118
1.76,7.221713,13.092323,84.32831,13.213958
1.7633333,10.426896,10.63451,76.74532,11.225893
1.7666667,7.0890136,10.4167185,82.33778,10.13306
1.77,9.786155,7.410893,75.20739,9.298085
1.7733333,7.185449,17.817177,81.24866,11.884238
1.7766666,10.850979,11.768599,72.18169,12.74976
1.78,7.1058307,11.785632,84.13851,10.59514
1.7833333,11.769293,8.431103,77.73304,9.393752
1.7866666,7.661607,13.421853,75.89052,10.410559
1.79,8.89858,8.502531,71.908455,12.095598
1.7933333,7.4792995,16.887121,77.36955,10.446521
1.7966666,9.791,8.214174,70.74167,9.398582
1.8,7.556569,14.643209,76.634514,10.5667515
1.8033333,8.885881,10.265076,74.24739,10.94478
1.8066666,8.70796,9.020916,76.53366,9.665715
1.81,9.075046,10.497916,73.35302,10.796274
1.8133334,7.0587673,10.769228,78.46833,12.750383
1.8166667,9.928905,9.631453,74.348854,11.339745
1.82,7.956326,9.776614,75.02742,12.038993
1.8233334,11.19248,9.010681,68.58532,10.943349
1.8266667,7.744147,15.656568,72.99175,11.413975
1.83,9.731806,10.217773,68.77499,12.049029
1.8333334,8.833924,9.382157,68.27308,11.367507
1.8366667,8.459608,10.798595,69.404945,10.509862
1.84,10.092687,11.790093,65.57477,9.252073
1.8433334,8.083092,7.3102236,69.04135,11.089921
1.8466667,9.384075,16.307037,65.25134,11.051226
1.85,7.9061675,12.248028,70.65965,10.760592
1.8533334,10.892661,7.2039576,70.63373,8.940359
1.8566667,6.685327,18.27687,80.47383,10.027339
1.86,9.537381,12.059525,74.021996,13.0971155
1.8633333,7.9043517,10.905355,83.92131,11.068073
1.8666667,8.659655,8.383454,82.36831,11.438877
1.87,7.5465603,16.691452,83.01707,11.844348
1.8733333,9.773976,10.167094,75.62329,11.042712
1.8766667,7.695953,10.593533,81.02052,10.393294
1.88,10.182611,9.430274,75.38691,9.714878
1.8833333,7.5375752,12.912838,79.371376,10.899005
1.8866667,11.109095,9.329339,72.11451,12.211299
1.89,6.467357,10.517509,83.36626,11.826615
1.8933333,11.658632,9.836871,75.07758,11.618789
1.8966666,7.236048,12.09974,81.674194,9.246797
1.9,10.414837,9.651597,74.343376,10.285079
1.9033333,8.214256,12.665245,74.82051,11.800386
1.9066666,10.457712,9.705937,69.06983,12.094202
1.91,7.95849,13.3186455,72.0421,11.835346
1.9133333,7.954204,8.41426,73.47748,9.909825
1.9166666,11.162573,13.944937,67.93533,9.856403
1.92,9.537786,8.784745,67.18681,12.151047
1.9233333,7.8159375,13.918706,74.92292,10.363028
1.9266666,9.660374,12.060459,69.04988,10.93733
1.93,7.9567986,8.092431,73.94082,10.147628
1.9333333,9.168961,11.625485,69.81191,11.597106
1.9366666,10.4433775,11.375936,64.960724,12.955776
1.94,8.970922,9.609795,69.7668,10.206369
1.9433334,8.269529,10.617997,71.91734,10.571838
1.9466667,8.306744,10.021799,73.30641,11.785321
1.95,8.9306,9.085326,70.83491,11.204566
1.9533334,8.293067,12.859395,70.20067,11.11613
1.9566667,9.653636,12.432933,67.50362,10.654611
1.96,7.1265945,11.246808,76.94169,10.901385
1.9633334,9.239957,10.773796,72.06505,10.968169
1.9666667,9.266031,10.541446,68.13266,11.412113
1.97,7.4932303,8.999231,73.1084,10.976188
1.9733334,9.579894,14.757336,71.06651,11.343302
1.9766667,7.2666507,11.993305,77.93499,10.412912
1.98,9.95179,10.331918,73.63309,9.698308
1.9833333,9.618504,11.290169,70.033806,10.342384
1.9866667,8.905413,8.437151,68.37426,13.505123
1.99,7.2547026,15.024011,73.57199,11.256727
1.9933333,10.042462,9.566876,67.99226,9.64499
1.9966667,9.34967,9.32066,67.916405,10.310051
2.0,9.387326,11.9809675,64.82207,12.6371155
2.0033333,7.8283067,12.867949,70.16629,10.376626
2.0066667,11.447493,9.747432,66.40864,12.016728
2.01,7.690345,9.550256,71.64639,10.345159
2.0133333,10.180042,10.161034,67.23762,11.242367
2.0166667,6.811734,9.568334,76.55379,11.961407
2.02,11.748159,9.383866,69.657074,10.859071
2.0233333,10.141903,11.959128,66.86748,10.09774
2.0266666,7.874598,8.57138,70.0853,10.776193
2.03,10.564325,12.831604,66.567955,12.78457
2.0333333,10.14143,7.95629,63.949467,10.019351
2.0366666,8.6343775,14.228427,68.28949,13.207387
2.04,9.428813,10.82052,65.03908,13.297919
2.0433333,8.267805,8.501866,71.87544,12.643031
2.0466666,10.637726,11.932632,66.567444,11.422166
2.05,7.2000704,11.06209,73.69468,12.95241
2.0533333,10.5886135,9.969992,68.32938,12.191035
2.0566666,9.356052,11.10074,65.78475,11.095033
2.06,9.213604,10.32429,63.967922,11.678695
2.0633333,10.110184,13.395499,62.123844,11.244585
2.0666666,9.815065,7.864131,60.958878,11.052272
2.07,8.848908,15.028438,62.981575,12.597219
2.0733333,9.264334,10.349209,63.529762,10.531309
2.0766666,10.163246,9.883246,65.615074,9.79004
2.08,9.934236,8.826605,63.559135,12.075858
2.0833333,8.495211,11.093049,65.07767,11.046166
2.0866666,9.748616,6.2100344,62.61209,11.382723
2.09,7.332977,20.115885,73.51107,10.501005
2.0933332,12.98859,13.167959,67.19719,11.695975
2.0966666,9.378912,11.390444,75.67714,10.381343
2.1,8.564884,8.626405,76.509514,11.093273
2.1033332,9.424871,11.204661,72.78656,10.864493
2.1066666,8.403534,8.99343,73.32549,11.7207775
2.11,9.449963,9.275167,71.49443,11.046288
2.1133332,8.141365,10.941069,73.66536,12.921919
2.1166666,9.601426,8.970819,71.13085,11.172474
2.12,8.28994,11.781523,72.303474,12.403154
2.1233332,8.500101,8.261577,71.36423,12.360668
2.1266668,9.015752,13.311762,70.86415,11.126517
2.13,6.91734,8.80307,80.08361,11.523701
2.1333334,11.673678,12.299663,76.37864,10.482
2.1366668,7.5897465,12.199257,78.91655,9.031818
2.14,10.609027,11.291248,73.93366,10.337189
2.1433334,8.490263,12.329179,71.82365,13.265587
2.1466668,9.623069,8.429973,68.48849,12.376437
2.15,9.226779,14.687696,66.7854,12.086521
2.1533334,8.473878,8.906524,68.49431,14.051387
2.1566668,9.788129,11.114985,68.77368,10.750336
2.16,8.075119,8.34166,73.18592,12.59712
2.1633334,9.843361,12.863083,70.92945,12.68911
2.1666667,8.749864,11.928263,67.94194,13.165146
2.17,9.729865,10.796307,68.67913,13.241926
2.1733334,8.45294,10.342359,68.57934,12.431073
2.1766667,8.683645,8.010301,67.34513,12.076804
2.18,10.587851,15.223943,62.82536,10.6838875
2.1833334,9.773762,10.161264,63.353676,11.740881
2.1866667,8.583098,9.755221,69.50051,14.04208
2.19,8.731662,9.669583,70.69741,10.59122
2.1933334,11.398329,9.3212805,65.32074,12.892458
2.1966667,7.6439886,9.999366,70.170265,11.986457
2.2,10.371771,11.228796,66.34488,11.748136
2.2033334,8.763525,8.788834,66.03409,10.503284
2.2066667,9.82763,10.4841385,63.309753,11.941743
2.21,8.434551,11.183015,64.19675,11.823917
2.2133334,10.811016,8.224822,62.922348,12.239903
2.2166667,7.490932,12.486179,70.39817,11.316809
2.22,10.618734,7.4294653,64.277435,12.432001
2.2233334,10.709374,16.675402,64.8239,13.367604
2.2266667,7.148303,9.720062,73.3637,10.939936
2.23,11.428334,12.672778,74.228264,12.072795
2.2333333,7.6767173,8.124441,78.44334,12.375746
2.2366667,11.017936,12.4962,71.627914,10.583996
2.24,8.866559,11.55534,70.90467,12.561407
2.2433333,8.094979,10.1051655,77.95652,12.837043
2.2466667,10.059574,10.96442,71.24671,12.733312
2.25,9.446487,9.549525,69.6725,11.231565
2.2533333,9.971045,10.822983,65.76598,11.425446
2.2566667,6.5647254,10.283893,79.08294,10.762987
2.26,13.851765,11.285969,73.48365,11.215563
2.2633333,9.072979,9.550175,72.109,12.389429
2.2666667,10.923825,9.728092,67.60748,13.458045
2.27,9.211701,14.352034,64.087166,13.787638
2.2733333,10.016872,9.472539,65.60207,12.814414
2.2766666,8.234565,11.003463,66.082184,14.008129
2.28,10.945505,7.2327843,63.012646,12.628281
2.2833333,9.231056,15.713996,65.05735,14.211568
2.2866666,7.081838,11.06382,74.07393,11.953245
2.29,12.799314,10.169159,74.54974,15.548088
2.2933333,9.764061,10.10967,67.97965,11.807944
2.2966666,10.391751,11.376633,63.061466,13.37434
2.3,10.0569315,11.137628,61.866585,11.065159
2.3033333,11.156538,8.735462,60.11217,10.78043
2.3066666,8.235807,11.378551,65.00731,11.877414
2.31,10.164575,9.684873,62.56768,10.92978
2.3133333,9.111026,9.014689,66.37002,13.350086
2.3166666,11.113672,10.29819,63.998436,13.004632
2.32,9.38851,8.95432,64.524864,13.042453
2.3233333,11.049988,10.90869,62.116528,13.201238
2.3266666,9.994616,10.707663,59.551632,10.673946
2.33,8.80011,7.7531195,62.21036,12.553169
2.3333333,10.723949,15.734909,60.55655,12.944547
2.3366666,9.800976,11.603447,59.39803,13.448932
2.34,10.09055,9.50426,62.683746,11.050258
2.3433332,8.90588,9.210137,65.17887,12.575198
2.3466666,9.234835,9.721461,64.57349,10.664302
2.35,8.57807,7.786214,66.44303,9.538696
2.3533332,10.045182,16.27063,65.370575,13.209126
2.3566666,9.766463,11.915724,62.41911,13.98786
2.36,8.7185755,9.378983,69.59601,13.024204
2.3633332,11.405994,12.1189,67.16022,12.877797
2.3666666,8.644411,9.877554,66.76694,11.201462
2.37,12.377528,8.250583,65.19547,13.3543
2.3733332,6.932736,12.849659,75.49533,10.8982725
2.3766668,11.628839,8.854287,68.90719,13.670594
2.38,10.670968,12.245132,68.84564,11.16233
2.3833334,9.966204,9.971939,66.49761,13.343116
2.3866668,9.784387,12.083541,65.81838,11.812924
2.39,10.505988,8.44468,63.088326,13.490038
2.3933334,10.515272,12.094253,61.761707,13.440345
2.3966668,9.233947,9.276787,60.44391,12.507047
2.4,9.140591,11.811916,63.829563,13.47836
2.4033334,9.599259,9.905714,62.930603,12.904225
2.4066668,10.181388,9.027183,63.418556,12.604643
2.41,11.014569,10.900685,60.153324,12.410219
2.4133334,10.969543,10.015902,58.116154,13.6078615
2.4166667,8.541044,9.075796,62.519382,13.134678
2.42,9.055589,10.17089,61.823544,14.27658
2.4233334,9.41035,7.7477717,59.939426,12.9617
2.4266667,10.744542,13.977261,59.246986,14.308479
2.43,9.92487,11.537497,59.058964,15.307524
2.4333334,9.787505,9.308213,63.805317,14.138475
2.4366667,9.383943,11.221532,62.940857,14.513535
2.44,10.823815,8.753174,61.107502,15.192264
2.4433334,10.155823,12.007583,59.205555,15.436442
2.4466667,11.389008,8.135059,57.005394,13.326967
2.45,9.8970375,14.693869,59.52915,14.058185
2.4533334,11.715346,9.7361145,58.12636,13.524089
2.4566667,11.53572,9.5223,60.331802,14.836037
2.46,9.621506,10.161726,61.442318,13.655772
2.4633334,10.255805,7.273201,59.83392,13.168774
2.4666667,8.62725,15.910641,61.88614,12.375786
2.47,10.710938,10.43017,59.754368,12.772726
2.4733334,9.488809,8.220272,65.32817,13.60366
2.4766667,9.97805,12.480276,63.56198,12.032786
2.48,9.894524,10.031151,61.71045,13.063711
2.4833333,11.026278,9.88774,63.07147,11.229204
2.4866667,9.592896,8.580782,61.62078,11.744433
2.49,10.267692,12.976624,60.639713,13.346647
2.4933333,10.437004,7.7587633,60.215683,11.613601
2.4966667,9.850691,12.503467,62.04034,14.925003
2.5,11.254448,9.021334,60.568607,11.606658
2.5033333,9.217077,9.752897,66.43814,12.561108
2.5066667,10.920037,10.626174,63.279743,12.366462
2.51,10.510699,8.024346,61.510506,15.262216
2.5133333,9.113692,13.412514,63.02777,9.973192
2.5166667,10.450913,8.658223,59.48932,14.521683
2.52,11.016316,11.353,61.9627,14.258622
2.5233333,10.073251,8.762273,62.423668,14.855972
2.5266666,9.806365,10.788567,63.40723,13.987679
2.53,11.354089,7.88903,59.322163,14.904117
2.5333333,8.773122,13.958731,65.004906,11.6043415
2.5366666,11.405767,11.524149,62.193237,15.36805
2.54,10.086468,8.794875,64.47462,13.891908
2.5433333,10.583583,10.557212,63.60278,14.281823
2.5466666,11.192193,8.558744,61.097477,13.914902
2.55,9.537983,11.752491,62.887066,14.585805
2.5533333,8.259548,8.456988,65.92428,13.725098
2.5566666,11.829504,10.471673,65.649155,14.374825
2.56,10.769558,9.368853,62.982006,13.541729
2.5633333,11.373673,10.040446,63.372868,14.060699
2.5666666,10.200422,8.968762,61.940845,12.457659
2.57,10.253882,9.161547,62.967644,14.785965
2.5733333,11.2369995,10.570233,60.29391,14.022151
2.5766666,10.859432,8.612177,61.80481,13.87899
2.58,10.832093,10.514324,62.280956,13.94834
2.5833333,11.125001,8.856642,60.000435,12.1517
2.5866666,10.390183,11.305291,61.865913,13.817906
2.59,12.017938,9.231239,60.52104,14.212282
2.5933332,8.859379,11.573364,62.065723,12.983946
2.5966666,9.609045,8.160308,60.76713,12.746687
2.6,9.978601,14.18172,60.578163,13.034595
2.6033332,10.755849,8.237463,58.08849,13.007982
2.6066666,12.773824,14.056975,61.304157,14.026353
2.61,11.507945,7.3618307,60.497917,11.361202
2.6133332,12.540016,15.369866,61.52086,12.4032
2.6166666,11.264803,10.342162,60.639053,10.687954
2.62,12.085869,10.45286,65.56814,11.240695
2.6233332,10.46207,6.997671,62.435684,12.370843
2.6266668,10.970177,16.301208,60.399326,13.674843
2.63,10.504895,8.329814,59.177586,13.549252
2.6333334,12.209025,11.1788435,66.41333,13.033581
2.6366668,11.509338,8.150976,66.07274,13.661649
2.64,11.128144,13.058664,66.293816,12.886558
2.6433334,10.969334,10.295595,64.00002,11.969686
2.6466668,9.39129,8.804991,66.99963,14.8459015
2.65,11.04148,10.106388,63.326183,12.3179
2.6533334,10.439531,8.107504,61.850185,15.768369
2.6566668,12.974796,14.556549,61.647243,12.861965
2.66,10.817756,11.40445,61.359467,17.105497
2.6633334,10.890235,9.4894285,62.74437,14.017989
2.6666667,10.838254,9.384738,59.24152,16.981997
2.67,11.995866,10.839374,57.10002,15.85821
2.6733334,10.397794,7.4348445,58.0676,17.087961
2.6766667,11.089606,13.322581,58.250957,14.136511
2.68,11.188132,7.909064,56.72411,17.034304
2.6833334,10.9277725,12.387589,62.355835,13.955645
2.6866667,11.71985,9.562918,60.839146,14.221078
2.69,10.033791,9.03814,64.0996,13.702005
2.6933334,10.337359,9.516691,60.98202,12.90133
2.6966667,10.773242,9.887077,59.196144,13.745071
2.7,12.093956,9.0372925,60.12513,13.1383915
2.7033334,11.092948,8.951341,58.23642,13.876643
2.7066667,12.597162,10.800862,58.589783,14.996277
2.71,10.978606,9.831676,60.41259,12.740148
2.7133334,10.607252,8.991645,61.17963,12.187455
2.7166667,10.167773,11.000565,59.30918,12.30893
2.72,10.761647,6.412119,58.496006,12.712072
2.7233334,11.88936,17.167366,60.310104,14.423584
2.7266667,13.298969,10.009061,59.076588,13.937555
2.73,9.201684,9.835547,69.32743,14.186324
2.7333333,11.439822,10.562771,67.42517,15.985245
2.7366667,10.95393,10.053602,62.785213,12.662395
2.74,9.659829,9.509144,61.111027,14.516062
2.7433333,9.622897,11.074741,60.185745,15.322007
2.7466667,13.16784,7.8188534,59.72376,13.624902
2.75,11.377902,13.625453,61.413643,16.044899
2.7533333,10.699219,9.677365,60.247154,14.683037
2.7566667,10.275936,9.431542,64.61576,15.124142
2.76,11.947971,9.548562,64.68178,14.067568
2.7633333,12.184211,9.999238,62.185596,15.260969
2.7666667,12.064988,10.477695,59.70774,14.273331
2.77,10.751995,9.374377,58.656178,16.001251
2.7733333,9.6186,10.407535,57.636726,13.8033905
2.7766666,12.871581,9.870255,57.743603,15.412224
2.78,11.120522,8.086356,57.309196,14.435876
2.7833333,12.976314,14.179831,56.62355,16.551144
2.7866666,12.627225,13.553587,57.60232,12.813654
2.79,9.976618,9.099791,61.538517,15.300047
2.7933333,11.835051,9.149785,61.092106,13.7773905
2.7966666,8.8715725,11.002341,62.864216,15.226477
2.8,12.103744,7.7701426,62.05787,13.698591
2.8033333,11.270004,14.792675,62.951454,15.374395
2.8066666,11.768899,9.348077,61.213486,13.067496
2.81,11.241289,11.269014,62.95061,14.9900465
2.8133333,11.932285,10.040344,60.69598,14.138132
2.8166666,10.545063,8.1540365,58.216927,13.938633
2.82,12.066096,12.003141,55.325653,15.145384
2.8233333,11.81241,8.777664,54.674442,14.620669
2.8266666,11.419856,11.227697,58.069786,16.980036
2.83,9.580453,7.942125,56.81572,15.359934
2.8333333,11.697918,15.239689,59.84438,18.13617
2.8366666,10.7178755,10.548672,59.01675,14.417741
2.84,10.906742,8.849366,62.58358,15.89948
2.8433332,10.54987,9.941308,61.00326,13.637835
2.8466666,11.815205,8.559046,57.488205,16.017262
2.85,10.442463,12.086192,56.10115,14.831773
2.8533332,10.630813,10.099395,55.58949,15.101489
2.8566666,10.4577465,8.720057,57.014313,13.981787
2.86,11.785839,11.374712,56.73598,13.986805
2.8633332,11.550127,8.278637,56.716976,15.385192
2.8666666,11.451494,13.043798,56.91298,14.713377
2.87,11.719964,8.948124,53.70526,15.414637
2.8733332,10.856743,11.01083,57.69051,15.1700535
2.8766668,10.715638,7.9815755,57.849674,16.459246
2.88,13.050477,13.916845,60.996517,13.704036
2.8833334,12.691349,10.44487,59.268513,15.90284
2.8866668,12.231896,9.515705,61.88022,15.470727
2.89,12.028362,9.928567,60.00229,15.145826
2.8933334,11.200314,11.564495,58.27039,15.677327
2.8966668,12.329776,8.468237,58.126842,14.162861
2.9,12.452455,10.747216,58.293686,15.652519
2.9033334,8.842367,8.712298,59.86679,14.830104
2.9066668,11.020419,12.67424,61.25097,14.348821
2.91,9.9411545,8.289499,60.720757,14.653695
2.9133334,10.046002,10.53026,62.125225,15.856824
2.9166667,13.440708,9.980435,60.06915,14.311261
2.92,12.849751,7.8272886,62.35099,16.519009
2.9233334,13.61338,13.8401375,61.3841,17.077898
